city,state_id,state_code
Asansol,4853,WB
Ashoknagar Kalyangarh,4853,WB
Badkulla,4853,WB
Baduria,4853,WB
Bagdogra,4853,WB
Bagnan,4853,WB
Bagula,4853,WB
Bahula,4853,WB
Baidyabati,4853,WB
Bakreswar,4853,WB
Balarampur,4853,WB
Bali Chak,4853,WB
Bally,4853,WB
Balurghat,4853,WB
Bamangola community development block,4853,WB
Baneswar,4853,WB
Bangaon,4853,WB
Bankra,4853,WB
Bankura,4853,WB
Bansberia,4853,WB
Bansihari community development block,4853,WB
Barabazar,4853,WB
Baranagar,4853,WB
Barasat,4853,WB
Bardhaman,4853,WB
Barjora,4853,WB
Barrackpore,4853,WB
Baruipur,4853,WB
Basanti,4853,WB
Basirhat,4853,WB
Bawali,4853,WB
Begampur,4853,WB
Belda,4853,WB
Beldanga,4853,WB
Beliatore,4853,WB
Berhampore,4853,WB
Bhadreswar,4853,WB
Bhandardaha,4853,WB
Bhatpara,4853,WB
Birbhum district,4853,WB
Birpara,4853,WB
Bishnupur,4853,WB
Bolpur,4853,WB
Budge Budge,4853,WB
Canning,4853,WB
Chakapara,4853,WB
Chakdaha,4853,WB
Champadanga,4853,WB
Champahati,4853,WB
Champdani,4853,WB
Chandannagar,4853,WB
Chandrakona,4853,WB
Chittaranjan,4853,WB
Churulia,4853,WB
Contai,4853,WB
Cooch Behar,4853,WB
Cossimbazar,4853,WB
Dakshin Dinajpur district,4853,WB
Dalkola,4853,WB
Dam Dam,4853,WB
Darjeeling,4853,WB
Daulatpur,4853,WB
Debagram,4853,WB
Debipur,4853,WB
Dhaniakhali community development block,4853,WB
Dhulagari,4853,WB
Dhulian,4853,WB
Dhupguri,4853,WB
Diamond Harbour,4853,WB
Digha,4853,WB
Dinhata,4853,WB
Domjur,4853,WB
Dubrajpur,4853,WB
Durgapur,4853,WB
Egra,4853,WB
Falakata,4853,WB
Farakka,4853,WB
Fort Gloster,4853,WB
Gaighata community development block,4853,WB
Gairkata,4853,WB
Gangadharpur,4853,WB
Gangarampur,4853,WB
Garui,4853,WB
Garulia,4853,WB
Ghatal,4853,WB
Giria,4853,WB
Gobardanga,4853,WB
Gobindapur,4853,WB
Gopalpur,4853,WB
Gopinathpur,4853,WB
Gorubathan,4853,WB
Gosaba,4853,WB
Gosanimari,4853,WB
Gurdaha,4853,WB
Guskhara,4853,WB
Habra,4853,WB
Haldia,4853,WB
Haldibari,4853,WB
Halisahar,4853,WB
Harindanga,4853,WB
Haringhata,4853,WB
Haripur,4853,WB
